Дата,UserID,Продукт,Количество,Цена
2023-12-14,305,Товар B,6,865.39
2024-09-07,603,Товар A,4,457.01
2024-04-12,441,Товар D,5,628.81
2023-11-15,226,Товар D,5,580.19
2024-09-03,367,Товар A,5,584.71
2023-11-27,192,Товар C,6,514.39
2024-01-21,22,Товар B,6,409.78
2024-09-25,387,Товар E,9,436.75
2024-03-19,259,Товар B,6,253.15
2024-08-27,928,Товар E,6,134.64
2024-01-13,27,Товар D,9,342.71
2023-12-21,842,Товар B,4,299.33
2024-07-03,617,Товар E,1,603.02
2024-02-25,586,Товар C,2,481.8
2024-01-30,350,Товар D,10,850.1
2024-08-16,733,Товар C,5,811.52
2024-01-12,442,Товар D,3,406.58
2024-01-04,256,Товар D,8,108.56
2023-11-02,220,Товар A,9,825.06
2024-07-04,160,Товар C,4,215.59
2023-11-06,306,Товар E,5,576.33
2024-01-29,72,Товар D,6,417.5
2024-02-19,438,Товар A,1,306.0
2023-10-09,108,Товар C,7,687.13
2024-06-16,787,Товар B,6,712.92
2024-09-01,107,Товар E,6,583.65
2024-02-13,169,Товар B,7,357.43
2024-06-09,297,Товар A,6,186.35
2024-09-05,255,Товар A,7,236.53
2024-08-27,748,Товар E,9,410.67
2024-05-02,76,Товар E,3,659.43
2024-08-08,775,Товар A,4,853.94
2024-07-12,724,Товар C,6,747.98
2024-06-12,32,Товар B,2,556.32
2024-02-24,337,Товар B,10,230.11
2024-02-06,199,Товар D,10,144.77
2024-09-30,4,Товар B,2,820.67
2024-05-24,832,Товар A,4,193.39
2024-04-19,484,Товар B,3,547.15
2024-06-18,420,Товар E,4,472.3
2024-02-23,593,Товар B,4,487.47
2023-11-21,681,Товар E,10,287.18
2024-04-20,870,Товар D,3,512.7
2024-05-24,26,Товар B,2,408.55
2024-03-05,471,Товар B,8,310.75
2024-01-26,723,Товар E,1,191.18
2024-06-21,320,Товар B,6,201.71
2023-11-19,323,Товар D,7,116.98
2024-03-19,118,Товар E,9,908.69
2024-04-29,153,Товар C,10,353.51
2023-11-25,50,Товар E,8,107.07
2024-05-21,714,Товар C,10,625.2
2024-05-29,940,Товар B,10,534.85
2024-01-04,578,Товар C,7,941.7
2024-09-18,592,Товар A,9,372.89
2024-09-04,456,Товар C,10,290.93
2023-11-18,600,Товар A,8,844.99
2024-05-24,863,Товар E,2,384.58
2023-11-17,154,Товар E,1,501.05
2024-03-22,400,Товар A,4,779.4
2023-10-26,887,Товар C,3,425.44
2024-05-08,840,Товар E,6,425.6
2024-09-02,877,Товар A,10,696.52
2024-04-14,110,Товар D,6,382.43
2023-10-08,555,Товар C,6,154.26
2024-08-07,169,Товар E,5,732.54
2024-06-07,907,Товар A,1,457.37
2024-02-24,162,Товар B,6,498.55
2024-05-22,604,Товар E,10,947.56
2023-12-19,1,Товар B,9,535.08
2023-12-17,70,Товар B,2,451.64
2024-02-25,373,Товар C,9,175.28
2024-03-12,776,Товар C,2,109.29
2024-08-29,868,Товар C,9,750.26
2023-12-17,827,Товар C,3,577.76
2024-01-25,84,Товар B,9,493.3
2024-07-09,662,Товар C,8,545.73
2024-07-16,320,Товар D,2,666.59
2023-10-09,861,Товар C,9,204.03
2023-11-10,453,Товар B,4,634.37
2023-11-15,775,Товар B,1,510.14
2024-03-18,489,Товар A,2,249.62
2023-12-28,200,Товар E,1,926.41
2024-06-28,430,Товар E,6,113.41
2024-06-18,697,Товар D,3,862.15
2024-02-04,718,Товар A,3,946.78
2024-07-10,904,Товар C,3,870.44
2024-03-01,77,Товар D,9,147.54
2024-06-13,799,Товар B,1,466.23
2024-09-12,187,Товар B,8,601.67
2024-07-29,716,Товар B,3,368.11
2024-08-03,73,Товар E,1,818.1
2023-12-28,238,Товар B,7,409.09
2024-03-17,196,Товар C,10,817.53
2024-05-27,834,Товар E,5,910.79
2024-07-24,641,Товар D,4,346.15
2024-06-25,707,Товар C,9,933.94
2024-02-20,610,Товар B,7,451.4
2024-07-10,482,Товар B,6,774.22
2024-09-23,337,Товар C,10,331.9
2024-09-24,318,Товар A,10,494.2
2024-05-31,247,Товар D,7,333.24
2024-06-15,805,Товар A,8,112.06
2024-01-27,378,Товар B,6,821.09
2024-05-28,101,Товар B,1,109.79
2024-03-30,932,Товар C,9,459.65
2023-11-19,863,Товар D,10,297.63
2024-09-04,662,Товар E,5,441.45
2023-12-29,306,Товар C,6,437.75
2024-06-14,229,Товар D,5,726.23
2024-07-27,113,Товар E,7,619.67
2023-11-05,950,Товар C,7,331.16
2023-11-19,917,Товар C,6,177.27
2024-02-23,717,Товар C,4,636.51
2023-11-28,249,Товар E,8,123.19
2023-10-11,602,Товар D,2,808.13
2024-02-15,615,Товар C,5,769.22
2024-01-11,68,Товар A,2,475.23
2024-09-13,934,Товар E,6,660.87
2024-03-01,920,Товар E,8,195.4
2024-01-13,508,Товар E,4,645.12
2023-10-22,688,Товар C,7,814.95
2024-01-11,827,Товар E,7,900.92
2023-10-13,795,Товар A,3,942.82
2023-12-02,206,Товар B,2,841.91
2023-12-26,740,Товар C,4,157.95
2024-01-02,177,Товар D,8,386.05
2024-07-17,350,Товар E,5,902.13
2024-06-10,870,Товар E,6,461.84
2024-01-25,531,Товар B,7,821.82
2023-11-27,201,Товар D,10,800.82
2024-04-04,858,Товар E,8,477.22
2024-05-07,967,Товар B,5,697.87
2024-03-07,321,Товар E,5,271.25
2024-05-08,837,Товар E,4,448.75
2024-03-09,235,Товар C,9,426.67
2023-12-07,848,Товар E,10,144.73
2024-05-07,181,Товар E,3,996.09
2024-05-08,530,Товар C,10,600.74
2024-05-24,147,Товар E,8,667.24
2023-10-22,828,Товар D,9,644.55
2023-11-28,825,Товар B,2,850.01
2024-09-07,908,Товар C,3,392.76
2024-07-01,657,Товар B,1,167.81
2024-09-27,696,Товар A,10,779.57
2024-08-11,259,Товар A,10,229.61
2024-07-23,953,Товар A,4,155.19
2024-05-07,279,Товар B,1,637.61
2024-07-02,511,Товар B,1,203.3
2024-09-09,252,Товар C,1,370.65
2024-07-08,212,Товар A,2,396.23
2023-12-27,943,Товар D,9,964.79
2023-12-01,806,Товар D,4,314.9
2023-11-19,762,Товар A,6,393.93
2024-08-22,138,Товар D,7,304.59
2023-12-22,462,Товар B,3,189.97
2024-04-22,647,Товар E,10,554.61
2024-05-05,880,Товар D,4,936.14
2024-04-28,538,Товар E,3,667.54
2024-03-07,570,Товар A,7,880.71
2024-03-12,421,Товар B,5,670.52
2024-04-07,519,Товар D,2,835.98
2024-01-22,910,Товар B,10,461.46
2024-03-09,42,Товар B,7,609.42
2024-01-18,713,Товар D,3,574.04
2023-11-27,570,Товар D,2,534.17
2024-02-02,492,Товар B,8,783.86
2023-12-17,728,Товар A,3,544.81
2024-08-06,156,Товар D,10,533.76
2024-07-21,734,Товар A,6,565.99
2024-07-15,690,Товар D,1,849.7
2023-12-28,10,Товар D,3,799.8
2023-11-28,834,Товар B,6,692.36
2023-10-27,940,Товар A,3,179.6
2024-08-18,931,Товар D,1,225.84
2024-02-25,797,Товар D,6,625.84
2023-10-27,380,Товар E,5,800.86
2024-06-14,334,Товар D,2,832.17
2024-03-08,658,Товар E,10,547.31
2023-10-21,279,Товар A,5,371.42
2024-01-11,415,Товар C,3,750.8
2024-05-14,378,Товар E,4,690.45
2024-02-17,567,Товар E,5,470.89
2023-11-02,105,Товар A,8,375.47
2024-08-13,192,Товар E,9,188.71
2024-09-08,126,Товар A,1,567.92
2024-04-19,310,Товар A,7,383.41
2024-03-28,524,Товар C,4,138.91
2024-09-23,662,Товар E,2,446.05
2024-09-18,40,Товар C,9,942.03
